song,label
"And I can think of a thousand reasons why
I don't believe in you, I don't believe in you and I
Light me up a cigarette and put it in my mouth 
You're the only one that wants me around
And I can think of a thousand reasons why
I don't believe in you, I don't believe in you and I
<EOST>
Odchodzę od zmysłów teraz 
I nie w smak mi żaden dotyk 
Chyba mam Aspergera
Czuję, że nie umiem spojrzeć prawdzie w oczy 
A jest taka, że nie wiem jak żyć, nie wiem gdzie iść i po co 
Po szybkim, no to drinki nocą
Mój obraz jak Caravaggio, 
bo jest zbyt ostry 
Życie to parę chwil jesteś w nim jak 'Wilk z Wall Street'
Chciałbym odbić się od codzienności uciec 
Zostawić z tyłu parę powinności, uciech 
I, kurwa, przyrzekam 
Chyba to zrobię, bo jutro nic mnie nie czeka 
Poza raczkującym fejmem nawet się tym nie przejmę 
Pokłosie biorę bit i jadę z nim jak Paul Walker na koce po szosie aż zdechnę 
Nigdy nie będzie jak wcześniej 
Ta stagnacja sprawia, że załamuję ręce 
Jak
<EOST>
Cały ten świat jest kurewskim oszustwem 
Rozsypuje szczęście na potłuczonym lustrze 
Śmieszne poszedłem dalej od Zaratustry 
Śmieszne przynajmniej przestałem być pełen pustki 
Ludzie przychodzą i odchodzą dalej jak... 
Tu jest miejsce na Twoje porównanie, ja 
Nadal czuję, że mnie ciągnie w próżnię 
Ekliptyka, ale o tym może później 
Szczęście to dobry szlak moja droga 
Wcieliliśmy to w życie to jak joga 
Traktuję Cię jak powietrze ekologia 
Nie, że hasztag, po prostu ekologia 
Nadal nie wiem, co możemy jutro zastać 
Ale moje ramię posłuży temu za punkt oparcia 
Nadal nie wiem czy mam wszystko, czy nic 
Gdy patrzę na ogień i czuję się jak Victor Fries
<EOST>
Light me up a cigarette and put it in my mouth 
You're the only one that wants me around
And I can think of a thousand reasons why
I don't believe in you, I don't believe in you and I 
Light me up a cigarette and put it in my mouth 
You're the only one that wants me aroun<EOST>d",0
"To nie do wiary, że się ziścił 
Taki piękny plan 
Mamy wokół znów nienawiści 
Kosmiczny prawie stan 
<EOST>
W innych sprawach to ciut gorzej 
- ""Bieda, panie... Cóż"" 
Ale co do samej nienawiści 
- to siódme niebo już 
<EOST>
Niech tam sobie inni gdzieś 
Mają ropę, prąd i gaz 
Nie podskoczą nam - o nie! 
Tyle tej energii w nas 
<EOST>
W siódmym niebie nienawiści 
Zmiłowania ani gram 
W siódmym niebie nienawiści 
Lepiej niż na haju nam 
Nic tam nie jest wybaczone 
Byle drobiazg, byle grzech... 
Wszystkie chwyty dozwolone, 
By przywalić komuś, ech ! 
<EOST>
Za długo było tej niewoli, 
Gdy człowiek nie śmiał śmieć 
Bo mu antychryst nie pozwolił 
Ze wszystkich łacha drzeć 
<EOST>
A teraz siódme niebo nam się dzieje 
Bajeczny nastał czas 
Wiadomo, wszyscy kurwy i złodzieje 
Nie wyłączając nas 
<EOST>
Niech no kto wychyli łeb 
Trzeba opluć, zgnoić, zgnieść 
Taki nasz powszedni chleb 
Obsobaczyć go i cześć 
<EOST>
W siódmym niebie... 
<EOST>
W siódmym niebie... 
<EOST>
W siódmym niebie nienawiści 
W siódmym niebie nienawiści 
W siódmym niebie nienawiśc<EOST>i",0
"Lubię jak przychodzi sen
Jak dopala się znów dzień
Nie obchodzi mnie już nikt
W szklance został tylko łyk
<EOST>
Mogę znowu sobą być
Nikt nie powie mi jak żyć
Szczerość nie krępuje mnie
Mogę nawet zabić się
<EOST>
Nie chcę litości, bo zniewala mnie, o nie
Nie chcę miłości, bo okrada mnie, we śnie
Kocham gdy nocą pada deszcz, jak łzy
Zamykam oczy coś mi się śni, tak śni
<EOST>
Już nie liczę żadnych strat
Życia nie obdzieram z szat
Nie obchodzi mnie czyjś gniew
Płynie we mnie moja krew
<EOST>
Nie chcę litości, bo zniewala mnie, o nie
Nie chcę miłości, bo okrada mnie, we śnie
Kocham gdy nocą pada deszcz, jak łzy
Zamykam oczy coś mi się śni - tak śni, pięknie śni
<EOST>

Nie chcę litości, bo zniewala mnie, o nie
Nie chcę miłości, bo okrada mnie, we śnie
Kocham gdy nocą pada deszcz, jak łzy
Zamykam oczy coś mi się śni - tak śn<EOST>i",0
"Step is full of hope
You gotta get up when you fall
Every day is a chance
to achieve what you want
<EOST>
Even when I'm hurt
I celebrate my scars
And they build a better me
They're reminding me to fight for my dreams
<EOST>
I'm, I'm a fighter
I'm a fighter
Everything's gonna be alright
Everything's gonna be okay
Everything's gonna be alright
<EOST>
I allowed myself to fly, to fly
I'm the creator of my own mind, my own mind
<EOST>
I'm the wizard of my life
I will fight until I die
This is my life, my life 
<EOST>
I'm the wizard of my life
I will fight until I die
This is my life, my life 
<EOST>
Everything's gonna be alright
Everything's gonna be okay
Everything's gonna be alrigh<EOST>t",0
"Był chyba maj,
Park na Grochowie.
W słoneczny dzień,
Zobaczyłem Cię.
Tańczyłaś boso,
Byłaś jak natchniona,
A po chwili zaczął padać deszcz.
Nie wiedziałem,
co sie ze mną dzieje,
wszystko znikło byłaś tyko ty.
Stałaś w tęczy jak zaczarowana,
świeciło słonce a z nieba padał deszcz.

<RBEG>Ref:
Tyle samotnych dróg musiałem przejść bez Ciebie.
Tyle samotnych dróg musiałem przejść by móc,
odnaleźć Ciebie tu.

Nasze oczy wreszcie sie spotkały,
jak odbicia zagubionych gwiazd.
Byłaś blisko wszystko zrozumiałem,
Kto odejdzie zawsze będzie sam.
Na zawsze i na wieczność,
Uczyńmy z życia święto,
By będąc tu przez chwilę
wszystko zapamiętać.
Nasza droga nigdy się nie skończy,
A kto odejdzie zawsze będzie sam.

<RBEG>Ref:
Tyle samotnych dróg musiałem przejść bez Ciebiex3
Tyle samotnych dróg musiałem przejść by móc,
odnaleźć Ciebie tu. 

Tyle samotnych dróg musiałem przejść bez Ciebie
Tyle samotnych dróg musiałem przejść by móc,
odnaleźć Ciebie tu<REND><REND>.<EOST> ",1
"Pośród ludzi, których znam
Nie znajduję się
W samotności spędzam czas
Tak brakuje jej
Tyle dni i tyle miejsc
Nie pasuje mi
Chciałbym ujrzeć własny cień
Choć już dawno znikł
<EOST>
Nie mówię nic, zapomnieć chcę
Nie czuję nic, choć serce rwie
<EOST>
Uciec jak najdalej stąd
Jak uwolnić się
Opętany wizją twą
Nadać życiu sens
Nie wiedziałem dokąd iść
By odnaleźć Cię
Teraz prawdę całą znam
Nie ma takich miejsc
<EOST>
Nie mówię nic, zapomnieć chcę
Nie czuję nic, choć serce rwie
Nie mówię nic, zapomnieć chcę
Nie czuję nic, choć serce rwie
<EOST>
Nie ma nas i nie ma nic
Tak już w życiu jest
Bo najtrudniej znaleźć nam
To, co blisko gdzieś
W samotności trudno trwać
Z lustrem dzielić świat
Czy ty też to znasz ?
<EOST>
Nie mówię nic, zapomnieć chcę
Nie czuję nic, choć serce rwie
Nie mówię nic, zapomnieć chcę
Nie czuję nic, choć serce rwie
<EOST>
Te Samotne noce, te Samotne noce
Te Samotne noce, te Samotne noc<EOST>e",0
" 
<EOST>
1. Twoje kroki już na schodach 
Głupie myśli gonią gdzieś, 
Zagubiony ciągle w sobie 
Już za późno by cię mieć.
Przecież wiesz tacy bliscy jeszcze wczoraj 
Bez pretensji i bez łez 
Nienawiści czy to pora
Tak się trudno minąć jest
<EOST>
Ref : Najsmutniejsze w życiu dni 
Tak jak perły twoje łzy 
Z oczu twych spadały
Podzieleni ty i ja 
Pustka w głowie sensu brak, 
Kiedy tak kochałem
<EOST>
2.Ciągle wraca słowo kocham
Sam juz nie wiem czy tak chce
Tule w ustach twoje imie
Takie słodkie ciagle jest
Przeciez wiesz juz nie wierze w przeznaczenie
Swoim kłamstwem karmisz mnie
Tej decyzji juz nie zmienie
Juz nie zmienie brak mi cie
<EOST>
Ref : Najsmutniejsze w zyciu dni....
<EOST>

<EOST>

<EOST><EOST>
",1
"1. Nie od dzisiaj wszyscy wiemy
Wciąż słyszymy cały czas
Że słowiacka w nich uroda
Tak zniewala nas od lat
<EOST>
<RBEG>Ref: Te nasze dziewczyny
Słodkie i szalone
Mają w sobie to coś
Co cały czas przyciąga nas
One mają ten dar
I słodki czar
Tak często o nich słyszymy
To nasze polskie dziewczyny<REND>
<EOST>
2. Czy blondynka czy szatynka
Każda w sobie urok ma
Bo słowiacka ta uroda
Tak zniewala nas od lat
<EOST>
<RBEG>Ref: Te nasze dziewczyny
Słodkie i szalone
Mają w sobie to coś
Co cały czas przyciąga nas
One mają ten dar
I słodki czar
Tak często o nich słyszymy
To nasze polskie dziewczyny / <REND>x<EOST>2",1
"Przyjdź pomilczeć ze mną dziś
Tak jak ja bliźniaczo jesteś bezsenna
Przyjdź, przetrwajmy razem noc
Aż po świt, blady poranek tu bądź
<EOST>
Obejmij mnie bez słowa
Obejmij tak po ludzku
Kołysz mnie bez pośpiechu
Aż zniknie w ciele opór
Wytłumacz świat i ludzi,
Uspokój serca łomot, 
Powiedz, że będzie dobrze
Puść wolno, lecz bądź obok gdzieś
<EOST>
Czas po ciemku jakby stał
Powiedz mi, że wschód słońca jest pewny
Noc, nie sposób zliczyć gwiazd
Ty i ja, dla nas cały ten blask
<EOST>
Obejmij mnie bez słowa
Obejmij tak po ludzku
Kołysz mnie bez pośpiechu
Aż zniknie w ciele opór
Wytłumacz świat i ludzi
Uspokój serca łomot
Powiedz, że będzie dobrze
Puść wolno, lecz bądź obok gdzieś
<EOST>
Obejmij mnie bez słowa
Obejmij tak po ludzku
Kołysz mnie bez pośpiechu
Aż zniknie w ciele opór
Wytłumacz świat i ludzi
Uspokój serca łomot
Powiedz, że będzie dobrze
Puść wolno, lecz bądź obok gdzieś
<EOST>
Obejmij mnie bez słowa
Obejmij tak po ludzk<EOST>u",0
"Znajduję wciąż na stole kartkę
Kiedy nad ranem wracam spać
Znów na niej pytasz niby żartem
Czy już się musisz zacząć bać?
W powietrzu wisi coś podłego
Irracjonalne jakieś zło
Ma się ochotę na jednego
I prawdę mówiąc tylko to

Czas na mały blues
Czas na mały blues

Topnieje forsa jak śnieg w maju
Po kątach w domu rośnie kurz
Znów ci ktoś ręki nie podaje
Sam siebie pytasz czy to już

Czas na mały blues
Czas na mały blues
Czas na mały blues
Czas na mały blues

Do tylu jestes w życiorysie
Co najmniej tydzień albo dwa
Przeżyjesz  jakoś je na zwisie
Czasami trzeba żyć jak sie da, jak sie da
Wychodzić będziesz znów na miasto
Gdy w radiu z wieży hejnał gra
Pochodzisz trochę do trzynastej
Czasami trzeba żyć jak się da, jak się da

Znajduję wciąż tę samą kartkę
Kiedy nad ranem wracam spać
Znów na niej pytasz niby żartem
Czy już się musisz zacząć bać?

Czas na mały blues
Czas na mały blues
Czas na mały blues
Czas na mały blue<EOST>s",0
"Zanim twój anioł mnie skrzydeł pozbawi
Nim je oskubie, przetopi na wosk
Zaczekam, o, zaczekam
Zanim ugrzęznę w małżeńskim posłaniu
Na tle stu jaśków, w pierzynie na dnie
Zaczekam, o, zaczekam

Młodość nie wiek, w tym życia sens
Trzeba więc nażyć się na pełen dech
Naprzód i wstecz, tam i z powrotem
Młodość to gra, choć reguł brak
Przegra, kto nie chce grać na cały gaz
Póki jest czas, teraz - na potem

Zanim ochłonę na ślubnym kobiercu
By kawalerski okupić tu ból
Zaczekam, o, zaczekam
Nadmiar jest w panie od zaraz do wzięcia
Nim z jedną w supeł przewiążę swój los
Zaczekam, mhm, zaczekam

<RBEG>[2x:]
Młodość nie wiek, w tym życia sens
Trzeba więc nażyć się na pełen dech
Naprzód i wstecz, tam i z powrotem
Młodość to gra, choć reguł brak
Przegra, kto nie chce grać na cały gaz
Póki jest czas, teraz - na pot<REND>e<EOST>m",0
"Zatańczymy jeszcze jeden raz
Niech ta miłość głośno krzyczy z nas
Albo raz, albo dwa, albo niech będzie na trzy
Bo to my spełniamy nasze sny (2 x)
<EOST>
Kiedy chcesz, do mnie dzwoń
Przytulę Cię, porwę stąd
Kiedy chcesz, będę tu
Szepnę Ci: I love you
Nie, nie, nie, nie, nigdy nie mów nie
Kiedy ja tak bardzo Ciebie chcę
Nie, nie, nie, nie, nigdy nie mów nie
Kiedy ja tak bardzo Ciebie chcę
<EOST>
<RBEG>Ref.:
Zatańczymy jeszcze jeden raz
Niech ta miłość głośno krzyczy z nas
Albo raz, albo dwa, albo niech będzie na trzy
Bo to my spełniamy nasze sny (2 x)<REND>
<EOST>
Kocham ten koci wzrok
Czuję, że to jest to
Lubię Cię, robię wbrew
Kocham to, gdy pulsuje krew
Nie, nie, nie, nie, nigdy nie mów nie
Kiedy ja tak bardzo Ciebie chcę
Nie, nie, nie, nie, nigdy nie mów nie
Kiedy ja tak bardzo Ciebie chcę
<EOST>
<RBEG>Ref.:
Zatańczymy jeszcze jeden raz
Niech ta miłość głośno krzyczy z nas
Albo raz, albo dwa, albo niech będzie na trzy
Bo to my spełniamy nasze sny (4 <REND>x<EOST>)",1
"Winnic tutaj jest bez liku i winogron moc.
Wino płynie tu w kafejkach przez calutką noc.
A kobiety takie piękne, że aż serce drga,
Ślą uśmiechy tu i tam.
<EOST>
Tam, gdzie słonecznych sadów nieskończona woń,
Gdzie boski Olimp szczyt swój wznosi ponad ląd,
Gdzie Afrodyty czar po plaży snuje się,
To wszystko tutaj jest, jak we śnie.
<EOST>
Tu turystów wielkie rzesze przybywają wciąż,
Tu mężczyźni tańczą i śpiewają razem wgłos,
A bogowie gdzieś z Olimpu przyglądają się.
Tutaj jest tak, jak we śnie.
<EOST>
Tam, gdzie słonecznych sadów nieskończona woń,
Gdzie boski Olimp szczyt swój wznosi ponad ląd,
Gdzie Afrodyty czar po plaży snuje się,
To wszystko tutaj jest, jak we śnie.
<EOST>
Może ktoś z was mi to powie, czy gdzieś piękniej jest.
Tutaj słońce świeci mocno, każdy o tym wie.
W tej krainie wszyscy ludzie zakochują się.
Tutaj jest tak, jak we śnie.
<EOST>
Tam, gdzie słonecznych sadów nieskończona woń,
Gdzie boski Olimp szczyt swój wznosi ponad ląd,
Gdzie Afrodyty czar po plaży snuje się,
To wszystko tutaj jest, jak we śnie.
<EOST>
La lala la, la lala la, la lala laj,
La lala la, la lala la, la la la laj,
La lala la, la lala la, la la la laj,
La la la la la laj, lala laj.
<EOST>
Tam, gdzie słonecznych sadów nieskończona woń,
Gdzie boski Olimp szczyt swój wznosi ponad ląd,
Gdzie Afrodyty czar po plaży snuje się,
To wszystko tutaj jest, jak we śnie<EOST>.",1
"Tak wiele razy powtarzano w moich stronach
Ażeby dobrze za mąż wyjść
Poszukaj sobie biznesmena, a nie zera
Lecz tylko z Tobą dobrze mi
<EOST>
<RBEG>Ref.:
Widzę, że Ty czujesz miętę
Chyba też tak mam
Kiedy jesteś blisko przy mnie
Znika cały świat
Nie odchodź, przy mnie teraz
Mocno trwaj
Chcę tylko Ciebie
Masz mieć ze mną raj (2 x)<REND>
<EOST>
Kobieta często zmienia się, Ty wiesz i o tym
I nie łudź się, że przejmiesz ster
Zapewniam, że Ty ze mną możesz mieć kłopoty
Lecz mimo wszystko kochaj mnie
<EOST>
<RBEG>Ref.:
Widzę, że Ty czujesz miętę
Chyba też tak mam
Kiedy jesteś blisko przy mnie
Znika cały świat
Nie odchodź, przy mnie teraz
Mocno trwaj
Chcę tylko Ciebie
Masz mieć ze mną raj (4 <REND>x<EOST>)",1
